name;model;price;country;mileage;registration;transmission;power;fueltype;Automat;Benzín;Diesel;Elektřina;Hybrid;LPG
Skoda Citigo 1.0 MPI Tec 44 kW;Citigo;226490;Francie;24992;2019;Manuál;44;Benzín;0;1;0;0;0;0
Skoda Superb 147 kW;Superb;1035990;Německo;27633;2021;Automat;147;Diesel;1;0;1;0;0;0
Skoda Kodiaq 2.0 TSI ACT 4x4 DSG 140 kW;Kodiaq;1010490;Německo;6500;2021;Automat;140;Benzín;1;1;0;0;0;0
Skoda Superb 147 kW;Superb;1035990;Německo;495;2021;Automat;147;Diesel;1;0;1;0;0;0
Skoda Karoq 2.0 TDI SCR 4x4 DSG Style 110 kW;Karoq;638490;Belgie;41000;2019;Automat;110;Diesel;1;0;1;0;0;0
Skoda Enyaq iV 60 132 kW;Enyaq iV;977490;Francie;1000;2021;Automat;132;Elektřina;1;0;0;1;0;0
Skoda Karoq 1.5 TSI ACT 110 kW;Karoq;523990;Francie;62744;2018;Manuál;110;Benzín;0;1;0;0;0;0
Skoda Scala 110 kW;Scala;698990;Německo;9999;2021;Manuál;110;Benzín;0;1;0;0;0;0
Skoda Yeti 1.2 TSI Ambition 77 kW;Yeti;214490;Německo;91500;2013;Manuál;77;Benzín;0;1;0;0;0;0
Skoda Karoq 1.0 TSI Ambition 85 kW;Karoq;448490;Francie;59345;2018;Manuál;85;Benzín;0;1;0;0;0;0
Skoda Rapid 85 kW;Rapid;260490;Polsko;117131;2017;Manuál;85;Diesel;0;0;1;0;0;0
Skoda Enyaq iV 80 150 kW;Enyaq iV;1319990;Francie;4000;2021;Automat;150;Elektřina;1;0;0;1;0;0
Skoda Enyaq iV 60 132 kW;Enyaq iV;1018490;Francie;8000;2021;Automat;132;Elektřina;1;0;0;1;0;0
Skoda Scala 110 kW;Scala;649990;Německo;17233;2020;Manuál;110;Benzín;0;1;0;0;0;0
Skoda Scala 110 kW;Scala;693490;Německo;15443;2021;Manuál;110;Benzín;0;1;0;0;0;0
Skoda Fabia 1.4 TDI 77 kW;Fabia;233990;Polsko;95105;2016;Manuál;77;Diesel;0;0;1;0;0;0
Skoda Superb 2.0 TSI 4x4 DSG L&K 200 kW;Superb;963990;Německo;2482;2020;Automat;200;Benzín;1;1;0;0;0;0
Skoda Rapid 1.2 TSI Green Tec Style 77 kW;Rapid;248490;Francie;42100;2015;Manuál;77;Benzín;0;1;0;0;0;0
Skoda Scala 110 kW;Scala;668990;Německo;15900;2021;Manuál;110;Benzín;0;1;0;0;0;0
Skoda Kodiaq 1.5 TSI ACT DSG 110 kW;Kodiaq;984990;Německo;2500;2021;Automat;110;Benzín;1;1;0;0;0;0
Skoda Scala Ambition 110 kW;Scala;513490;Německo;24800;2020;Manuál;110;Benzín;0;1;0;0;0;0
Skoda Karoq 1.0 TSI Ambition 85 kW;Karoq;467990;Švédsko;55720;2018;Manuál;85;Benzín;0;1;0;0;0;0
Skoda Karoq 1.5 TSI ACT DSG Ambition 110 kW;Karoq;637990;Francie;8939;2020;Automat;110;Benzín;1;1;0;0;0;0
Skoda Scala 110 kW;Scala;649990;Německo;12800;2020;Manuál;110;Benzín;0;1;0;0;0;0
Skoda Enyaq iV 60 132 kW;Enyaq iV;992990;Francie;5000;2021;Automat;132;Elektřina;1;0;0;1;0;0
Skoda Citigo 1.0 MPI Active 44 kW;Citigo;185490;Rakousko;79577;2018;Manuál;44;Benzín;0;1;0;0;0;0
Skoda Kamiq 1.5 TSI DSG Ambition 110 kW;Kamiq;561990;Španělsko;17900;2021;Automat;110;Benzín;1;1;0;0;0;0
Skoda Kodiaq 147 kW;Kodiaq;1074990;Německo;25843;2021;Automat;147;Diesel;1;0;1;0;0;0
Skoda Octavia 150 kW;Octavia;764990;Francie;10205;2021;Automat;150;Hybrid;1;0;0;0;1;0
Skoda Karoq 1.0 TSI Ambition 87 kW;Karoq;448490;Francie;59345;2018;Manuál;87;Benzín;0;1;0;0;0;0
Skoda Kodiaq 2.0 TSI ACT 4x4 DSG 140 kW;Kodiaq;983990;Německo;28500;2021;Automat;140;Benzín;1;1;0;0;0;0
Skoda Karoq 1.5 TSI ACT DSG 110 kW;Karoq;804490;Německo;3000;2021;Automat;110;Benzín;1;1;0;0;0;0
Skoda Karoq 1.5 TSI ACT DSG 110 kW;Karoq;764990;Francie;500;2021;Automat;110;Benzín;1;1;0;0;0;0
Skoda Kodiaq 147 kW;Kodiaq;1144990;Německo;4500;2021;Automat;147;Diesel;1;0;1;0;0;0
Skoda Kodiaq 2.0 TSI ACT 4x4 DSG 140 kW;Kodiaq;996490;Německo;26346;2021;Automat;140;Benzín;1;1;0;0;0;0
Skoda Fabia 1.0 TSI Monte Carlo 70 kW;Fabia;348490;Francie;9978;2021;Manuál;70;Benzín;0;1;0;0;0;0
Skoda Citigo 1.0 MPI Tec 44 kW;Citigo;219490;Francie;40128;2019;Manuál;44;Benzín;0;1;0;0;0;0
Skoda Kamiq 1.5 TSI DSG Style 110 kW;Kamiq;612990;Francie;5820;2021;Automat;110;Benzín;1;1;0;0;0;0
Skoda Kodiaq 147 kW;Kodiaq;1084490;Německo;27900;2021;Automat;147;Diesel;1;0;1;0;0;0
Skoda Karoq 1.0 TSI Ambition 85 kW;Karoq;489990;Švédsko;22000;2019;Manuál;85;Benzín;0;1;0;0;0;0
Skoda Rapid 85 kW;Rapid;281490;Polsko;110000;2017;Manuál;85;Diesel;0;0;1;0;0;0
Skoda Octavia 2.0 TDI DPF DSG 103 kW;Octavia;245490;Německo;119800;2013;Automat;103;Diesel;1;0;1;0;0;0
Skoda Enyaq iV 80 150 kW;Enyaq iV;1233490;Francie;1000;2021;Automat;150;Elektřina;1;0;0;1;0;0
Skoda Scala 110 kW;Scala;526490;Polsko;8005;2021;Manuál;110;Benzín;0;1;0;0;0;0
Skoda Enyaq iV 80 150 kW;Enyaq iV;1296990;Francie;9000;2021;Automat;150;Elektřina;1;0;0;1;0;0
Skoda Scala 110 kW;Scala;609990;Německo;6000;2020;Manuál;110;Benzín;0;1;0;0;0;0
Skoda Karoq 1.5 TSI ACT DSG 110 kW;Karoq;803990;Německo;4890;2021;Automat;110;Benzín;1;1;0;0;0;0
Skoda Kodiaq 2.0 TSI ACT 4x4 DSG 140 kW;Kodiaq;984490;Německo;13300;2021;Automat;140;Benzín;1;1;0;0;0;0
Skoda Karoq 1.0 TSI Ambition 85 kW;Karoq;472490;Švédsko;34890;2018;Manuál;85;Benzín;0;1;0;0;0;0
Skoda Kodiaq 2.0 TSI ACT 4x4 DSG 140 kW;Kodiaq;971990;Německo;28100;2021;Automat;140;Benzín;1;1;0;0;0;0
Skoda Kodiaq 147 kW;Kodiaq;1097990;Německo;27990;2021;Automat;147;Diesel;1;0;1;0;0;0
Skoda Fabia 1.2 TSI 66 kW;Fabia;181490;Polsko;97570;2016;Manuál;66;Benzín;0;1;0;0;0;0
Skoda Scala Style 110 kW;Scala;572490;Německo;23190;2020;Manuál;110;Benzín;0;1;0;0;0;0
Skoda Kodiaq 2.0 TSI ACT 4x4 DSG 140 kW;Kodiaq;1010490;Německo;27224;2021;Automat;140;Benzín;1;1;0;0;0;0
Skoda Enyaq iV 60 132 kW;Enyaq iV;992990;Francie;3006;2021;Automat;132;Elektřina;1;0;0;1;0;0
Skoda Scala 110 kW;Scala;589490;Německo;10766;2020;Manuál;110;Benzín;0;1;0;0;0;0
Skoda Octavia 1.6 TDI Green Tec 85 kW;Octavia;485990;Francie;32107;2020;Manuál;85;Diesel;0;0;1;0;0;0
Skoda Scala 110 kW;Scala;657490;Německo;5000;2021;Manuál;110;Benzín;0;1;0;0;0;0
Skoda Kodiaq 2.0 4x4 DSG RS 176 kW;Kodiaq;1233490;Belgie;28800;2020;Automat;176;Diesel;1;0;1;0;0;0
Skoda Rapid 81 kW;Rapid;244990;Polsko;121616;2017;Manuál;81;Benzín;0;1;0;0;0;0
Skoda Kodiaq 2.0 TSI ACT 4x4 DSG Ambition 140 kW;Kodiaq;1009490;Německo;26120;2021;Automat;140;Benzín;1;1;0;0;0;0
Skoda Scala 110 kW;Scala;649490;Německo;1050;2021;Manuál;110;Benzín;0;1;0;0;0;0
Skoda Octavia 2.0l TDI DSG 4x4 147 kW;Octavia;997490;Německo;26515;2021;Automat;147;Diesel;1;0;1;0;0;0
Skoda Scala 1.6 TDI DSG Ambition 85 kW;Scala;541490;Itálie;11948;2021;Automat;85;Diesel;1;0;1;0;0;0
Skoda Citigo 1.0 MPI Ambition 44 kW;Citigo;172990;Francie;73073;2017;Manuál;44;Benzín;0;1;0;0;0;0
Skoda Octavia 110 kW;Octavia;488990;Španělsko;33474;2020;Manuál;110;Benzín;0;1;0;0;0;0
Skoda Octavia 110 kW;Octavia;773490;Polsko;13675;2021;Automat;110;Hybrid;1;0;0;0;1;0
Skoda Karoq 1.5 TSI ACT DSG 110 kW;Karoq;688990;Francie;14440;2020;Automat;110;Benzín;1;1;0;0;0;0
Skoda Fabia 1.0 MPI Ambition 55 kW;Fabia;285490;Španělsko;30125;2019;Manuál;55;Benzín;0;1;0;0;0;0
Skoda Karoq 1.0 TSI Ambition 85 kW;Karoq;517490;Německo;52590;2018;Manuál;85;Benzín;0;1;0;0;0;0
Skoda Superb 110 kW;Superb;688990;Francie;2424;2020;Automat;110;Diesel;1;0;1;0;0;0
Skoda Citigo 1.0 MPI Tec Clever 44 kW;Citigo;214490;Francie;36585;2019;Manuál;44;Benzín;0;1;0;0;0;0
Skoda Octavia 2.0 TDI 4x4 110 kW;Octavia;360490;Francie;109155;2018;Manuál;110;Diesel;0;0;1;0;0;0
Skoda Scala 110 kW;Scala;688490;Německo;4600;2021;Manuál;110;Benzín;0;1;0;0;0;0
Skoda Octavia 1.6 TDI Green Tec Active 85 kW;Octavia;305990;Slovensko;65192;2017;Manuál;85;Diesel;0;0;1;0;0;0
Skoda Scala 110 kW;Scala;713490;Německo;25170;2021;Manuál;110;Benzín;0;1;0;0;0;0
Skoda Kodiaq 147 kW;Kodiaq;1060990;Německo;29990;2021;Automat;147;Diesel;1;0;1;0;0;0
Skoda Karoq 1.0 TSI 85 kW;Karoq;438990;Švédsko;82000;2018;Manuál;85;Benzín;0;1;0;0;0;0
Skoda Kodiaq 2.0 TSI ACT 4x4 DSG 140 kW;Kodiaq;965990;Německo;28154;2021;Automat;140;Benzín;1;1;0;0;0;0
Skoda Kodiaq 147 kW;Kodiaq;1086990;Německo;26500;2021;Automat;147;Diesel;1;0;1;0;0;0
Skoda Karoq 1.5 TSI ACT DSG 110 kW;Karoq;765490;Německo;25319;2021;Automat;110;Benzín;1;1;0;0;0;0
Skoda Citigo 1.0 MPI Tec 44 kW;Citigo;223490;Polsko;51000;2019;Manuál;44;Benzín;0;1;0;0;0;0
